Order,Type,Source,Value,DevOps,PlatformEng,SysEng,
10,Skill,Platforms,Solarwinds N-Central & Orion,YES,YES,NO,
20,Skill,Platforms,Logic Monitor,YES,YES,NO,
30,Skill,Platforms,ServiceNOW,NO,YES,NO,
40,Skill,Platforms,InfoBlox DNS,YES,YES,YES,
50,Skill,Platforms,SharePoint,YES,NO,YES,
60,Skill,Platforms,Exchange,YES,NO,YES,
70,Skill,Platforms,vCenter,YES,NO,YES,
80,Skill,Platforms,Cisco DNAC,YES,NO,YES,
90,Skill,Platforms,Zerto,YES,NO,YES,
100,Skill,Platforms,Rubrik,YES,NO,NO,
110,Skill,Platforms,Druva,YES,NO,NO,
120,Skill,Platforms,NetApp,NO,NO,YES,
130,Skill,Platforms,Jenkins,YES,NO,NO,
140,Skill,Platforms,Unifi,NO,YES,NO,
150,Skill,Platforms,CW Automate fka LabTech,NO,YES,NO,
160,Skill,Platforms,Jira,YES,YES,NO,
170,Skill,Platforms,Confluence,YES,YES,NO,
180,Skill,Platforms,Chocolatey,YES,NO,YES,
190,Skill,Platforms,Azure DevOps,YES,YES,YES,
200,Skill,Platforms,GitHub,YES,YES,YES,
210,Skill,Platforms,OPSGenie,NO,YES,NO,
10,Skill,Apps,Excel,YES,YES,YES,
20,Skill,Apps,VSCode,YES,NO,NO,
30,Skill,Apps,Git,YES,YES,YES,
40,Skill,Apps,Kanban,YES,NO,NO,
50,Skill,Apps,Teams,YES,YES,NO,
60,Skill,Apps,OneDrive,NO,YES,YES,
70,Skill,Apps,SSH,YES,YES,YES,
80,Skill,Apps,Visio,YES,YES,YES
90,Skill,Apps,Chrome/Dev Tools,YES,YES,NO,
10,Skill,Languages,PowerShell,YES,YES,YES,
20,Skill,Languages,SQL,YES,NO,YES,
30,Skill,Languages,HTML/PHP/CSS,YES,NO,NO,
40,Skill,Languages,Python 3,YES,YES,YES,
50,Skill,Languages,Batch,YES,NO,YES,
60,Skill,Languages,API,YES,YES,NO,
70,Skill,Languages,YAML,YES,NO,YES,
80,Skill,Languages,XML,YES,NO,NO,
90,Skill,Languages,JSON,YES,NO,NO,
100,Skill,Languages,bash,YES,NO,YES,
110,Skill,Languages,MS Flow,YES,YES,NO,
120,Skill,Languages,AHK,YES,NO,NO,
10,Skill,OSes,Windows,YES,YES,YES,
20,Skill,OSes,MacOS,YES,YES,YES,
30,Skill,OSes,"Linux (Debian, RedHat)",YES,YES,YES,
40,Skill,OSes,VMWare ESXi,YES,YES,YES,
50,Skill,OSes,Unix,YES,YES,YES,
10,Skill,Microsoft,Active Directory,YES,YES,YES,
20,Skill,Microsoft,Group Policy,YES,YES,YES,
30,Skill,Microsoft,Azure AD,YES,YES,YES,
40,Skill,Microsoft,InTune,YES,YES,YES,
50,Skill,Microsoft,365 Admin,YES,YES,YES,
60,Skill,Microsoft,Graph API,YES,YES,YES,
70,Skill,Microsoft,Exchange,YES,YES,YES,
80,Skill,Microsoft,WinRM,YES,YES,YES,
90,Skill,Microsoft,WSUS,YES,YES,YES,
100,Skill,Microsoft,ACL,YES,YES,YES,
110,Skill,Microsoft,DNS,YES,YES,YES,
120,Skill,Microsoft,DHCP,YES,YES,YES,
10,Skill,Linux,Ansible,YES,YES,YES,
20,Skill,Linux,OpenVPN,YES,YES,YES,
30,Skill,Linux,IPTables,YES,YES,YES,
40,Skill,Linux,UFW,YES,YES,YES,
50,Skill,Linux,Prometheus,YES,YES,YES,
60,Skill,Linux,Telegraf,YES,YES,YES,
70,Skill,Linux,Influx,YES,YES,YES,
80,Skill,Linux,Grafana,YES,YES,YES,
90,Skill,Linux,Bind DNS,YES,YES,YES,
100,Skill,Linux,ISC DHCP,YES,YES,YES,
110,Skill,Linux,NFS,YES,YES,YES,
120,Skill,Linux,Samba,YES,YES,YES,
130,Skill,Linux,Cron,YES,YES,YES,
140,Skill,Linux,ZFS,YES,YES,YES,
150,Skill,Linux,ACL,YES,YES,YES,
160,Skill,Linux,Nginx,YES,YES,YES,
170,Skill,Linux,Apache,YES,YES,YES,
10,Accomplishment,NFL,"Took ownership of existing codebase and task environment to provide immediate bug fixes, feature requests, change support, and spearhead an environment migration to dedicated infrastructure.",YES,YES,NO,
20,Accomplishment,NFL,"Re-authored website in PHP to leverage existing script resources, including modular web form templates, a global navbar, and a fun footbal theme.",YES,YES,NO,
